Month,Peak,Average
12/2023,61300.0,353.0
11/2023,5100.0,227.0
10/2023,1500.0,177.0
09/2023,3000.0,282.0
08/2023,4100.0,233.0
07/2023,8100.0,396.0
06/2023,3700.0,281.0
05/2023,2800.0,212.0
04/2023,8300.0,567.0
03/2023,92200.0,496.0
02/2023,11700.0,554.0
01/2023,11200.0,1100.0
12/2022,20700.0,1300.0
11/2022,10100.0,375.0
10/2022,7200.0,279.0
09/2022,14900.0,538.0
08/2022,7500.0,394.0
07/2022,13100.0,591.0
06/2022,16000.0,544.0
05/2022,77000.0,683.0
04/2022,4800.0,404.0
03/2022,17800.0,553.0
02/2022,11900.0,508.0
01/2022,90700.0,1200.0
12/2021,27100.0,888.0
11/2021,7100.0,517.0
10/2021,12700.0,812.0
09/2021,30400.0,1800.0
08/2021,79000.0,2200.0
07/2021,7900.0,637.0
06/2021,19900.0,870.0
05/2021,27000.0,530.0
04/2021,36400.0,1100.0
03/2021,8000.0,1100.0
02/2021,13700.0,1400.0
01/2021,125000.0,3200.0
12/2020,71600.0,3200.0
11/2020,28400.0,4800.0
10/2020,43400.0,6800.0
09/2020,57800.0,7700.0
