Month,Peak,Average
12/2023,7500,1500
11/2023,9600,1600
10/2023,13500,1700
09/2023,12000,1600
08/2023,9200,1700
07/2023,9900,1600
06/2023,7100,1300
05/2023,42500,1900
04/2023,19100,1800
03/2023,19000,2200
02/2023,16700,2200
01/2023,22900,2300
12/2022,8500,1600
11/2022,17800,1500
10/2022,17500,1400
09/2022,7500,1500
08/2022,8000,1300
07/2022,14600,1700
06/2022,12900,2000
05/2022,82400,2900
04/2022,23900,3700
03/2022,10400,1700
02/2022,13100,2100
01/2022,27000,2700
12/2021,8600,2100
11/2021,25100,5400
10/2021,16600,1500
09/2021,10600,1700
08/2021,4300,1400
07/2021,47100,1900
06/2021,9000,1700
05/2021,13300,1900
04/2021,23400,2400
03/2021,17100,2200
02/2021,23000,2500
01/2021,30200,2900
12/2020,8300,1700
