Month,Peak,Average
12/2023,54100.0,3700.0
11/2023,7900.0,1300.0
10/2023,4200.0,826.0
09/2023,2200.0,559.0
08/2023,1700.0,407.0
07/2023,2700.0,444.0
06/2023,1400.0,409.0
05/2023,12700.0,545.0
04/2023,15600.0,496.0
03/2023,1200.0,405.0
02/2023,2400.0,477.0
01/2023,4000.0,672.0
12/2022,998.0,360.0
11/2022,3200.0,307.0
10/2022,14700.0,343.0
09/2022,1900.0,344.0
08/2022,1900.0,353.0
07/2022,1100.0,380.0
06/2022,1500.0,558.0
05/2022,1500.0,552.0
04/2022,1100.0,434.0
03/2022,3300.0,400.0
02/2022,2300.0,554.0
01/2022,4000.0,918.0
12/2021,5700.0,1000.0
11/2021,4900.0,882.0
10/2021,3000.0,860.0
09/2021,5500.0,1100.0
08/2021,6400.0,1100.0
07/2021,5500.0,898.0
06/2021,2400.0,838.0
05/2021,15900.0,838.0
04/2021,3700.0,933.0
03/2021,14100.0,1700.0
02/2021,9200.0,2200.0
01/2021,16800.0,2100.0
12/2020,10900.0,1400.0
