Month,Peak,Average
12/2023,16500.0,893.0
11/2023,46900.0,1300.0
10/2023,2700.0,238.0
09/2023,1100.0,148.0
08/2023,4300.0,225.0
07/2023,30400.0,592.0
06/2023,7200.0,349.0
05/2023,1900.0,345.0
04/2023,8400.0,683.0
03/2023,2700.0,326.0
02/2023,18900.0,478.0
01/2023,30700.0,1200.0
12/2022,17000.0,1600.0
11/2022,46100.0,3200.0
10/2022,75600.0,1600.0
09/2022,2600.0,198.0
08/2022,9200.0,1100.0
07/2022,7300.0,791.0
06/2022,5500.0,424.0
05/2022,3900.0,343.0
04/2022,8500.0,517.0
03/2022,10800.0,407.0
02/2022,33800.0,909.0
01/2022,36300.0,1700.0
12/2021,26200.0,1200.0
11/2021,30600.0,2900.0
10/2021,10800.0,428.0
09/2021,6200.0,496.0
08/2021,5100.0,397.0
07/2021,4000.0,347.0
06/2021,21800.0,680.0
05/2021,9800.0,790.0
04/2021,7700.0,606.0
03/2021,44000.0,779.0
02/2021,2500.0,297.0
01/2021,24700.0,785.0
12/2020,23200.0,560.0
11/2020,3200.0,165.0
10/2020,3900.0,180.0
09/2020,6800.0,306.0
08/2020,6100.0,192.0
07/2020,12800.0,199.0
06/2020,15400.0,825.0
05/2020,19300.0,2500.0
04/2020,132000.0,18700.0
03/2020,242000.0,87100.0
