Month,Peak,Average
12/2023,250000.0,30400.0
11/2023,272000.0,3800.0
10/2023,16700.0,5100.0
09/2023,34600.0,12900.0
08/2023,176000.0,19400.0
07/2023,436000.0,5400.0
06/2023,3100.0,1000.0
05/2023,32500.0,7500.0
04/2023,222000.0,28300.0
03/2023,285000.0,3400.0
02/2023,28600.0,5400.0
01/2023,36500.0,11300.0
12/2022,246000.0,22400.0
11/2022,35800.0,4100.0
10/2022,20800.0,2500.0
09/2022,35700.0,14100.0
08/2022,257000.0,21600.0
07/2022,24500.0,4200.0
06/2022,26000.0,9100.0
05/2022,240000.0,20000.0
04/2022,29900.0,4500.0
03/2022,62200.0,6300.0
02/2022,181000.0,23600.0
01/2022,252000.0,4600.0
12/2021,96800.0,11700.0
11/2021,37600.0,14300.0
10/2021,234000.0,18500.0
09/2021,30600.0,6500.0
08/2021,72000.0,16200.0
07/2021,181000.0,16400.0
06/2021,30700.0,5000.0
05/2021,37900.0,13900.0
04/2021,319000.0,26600.0
03/2021,33200.0,7300.0
02/2021,57000.0,19800.0
01/2021,296000.0,28600.0
12/2020,30400.0,5200.0
