Month,Peak,Average
12/2023,120000.0,17000.0
11/2023,73900.0,14100.0
10/2023,56200.0,10900.0
09/2023,148000.0,11400.0
08/2023,187000.0,11700.0
07/2023,92500.0,10600.0
06/2023,90900.0,9400.0
05/2023,47100.0,10000.0
04/2023,40700.0,9700.0
03/2023,95100.0,12500.0
02/2023,38400.0,8800.0
01/2023,102000.0,9300.0
12/2022,65900.0,8200.0
11/2022,77000.0,11400.0
10/2022,44300.0,9500.0
09/2022,39300.0,11700.0
08/2022,73800.0,11800.0
07/2022,170000.0,17100.0
06/2022,119000.0,12900.0
05/2022,92400.0,14100.0
04/2022,142000.0,22000.0
03/2022,65000.0,16700.0
02/2022,122000.0,16900.0
01/2022,90100.0,16900.0
12/2021,112000.0,13400.0
11/2021,124000.0,15600.0
10/2021,139000.0,11900.0
09/2021,60700.0,13400.0
08/2021,68300.0,16000.0
07/2021,191000.0,19600.0
06/2021,111000.0,19600.0
05/2021,95400.0,16700.0
04/2021,83100.0,18200.0
03/2021,153000.0,23100.0
02/2021,174000.0,29900.0
01/2021,160000.0,16100.000000000002
12/2020,78200.0,15100.0
