Month,Peak,Average
12/2023,16600.0,2200.0
11/2023,15200.0,2800.0
10/2023,12000.0,1300.0
09/2023,9000.0,1000.0
08/2023,13100.0,947.0
07/2023,12200.0,1600.0
06/2023,5800.0,1200.0
05/2023,13900.0,1600.0
04/2023,19400.0,2700.0
03/2023,20300.0,2000.0
02/2023,8700.0,1500.0
01/2023,10100.0,1400.0
12/2022,16600.0,2300.0
11/2022,18200.0,3700.0
10/2022,44900.0,4900.0
09/2022,11300.0,1000.0
08/2022,12200.0,1800.0
07/2022,18200.0,2800.0
06/2022,36300.0,2300.0
05/2022,12500.0,1800.0
04/2022,24000.0,2100.0
03/2022,16600.0,2100.0
02/2022,11800.0,1200.0
01/2022,14900.0,1500.0
12/2021,18700.0,2700.0
11/2021,18100.0,1600.0
10/2021,11400.0,1300.0
09/2021,13300.0,1700.0
08/2021,24700.0,4800.0
07/2021,34700.0,6000.0
06/2021,10900.0,2100.0
05/2021,11600.0,1500.0
04/2021,9300.0,1200.0
03/2021,15200.0,1600.0
02/2021,33700.0,4000.0
01/2021,18400.0,1700.0
,,
,,
,,
,,
,,
07/2020,1900.0,24.0
