Month,Peak,Average
12/2023,244000.0,39800.0
11/2023,44900.0,10800.0
10/2023,76400.0,14900.0
09/2023,108000.0,16800.0
08/2023,36300.0,9900.0
07/2023,96000.0,15900.0
06/2023,567000.0,54400.0
05/2023,343000.0,40500.0
04/2023,230000.0,40700.0
03/2023,38600.0,11500.0
02/2023,48100.0,13100.0
01/2023,171000.0,26800.0
12/2022,44800.0,10500.0
11/2022,60400.0,15000.0
10/2022,122000.0,17500.0
09/2022,80800.0,19500.0
08/2022,382000.0,48400.0
07/2022,108000.0,22700.0
06/2022,250000.0,46200.0
05/2022,216000.0,27600.0
04/2022,383000.0,31400.0
03/2022,137000.0,20500.0
02/2022,189000.0,26200.0
01/2022,909000.0,85500.0
12/2021,41700.0,9400.0
11/2021,97200.0,13000.0
10/2021,29600.0,7600.0
09/2021,154000.0,22400.0
08/2021,40600.0,11000.0
07/2021,407000.0,39800.0
06/2021,71500.0,10500.0
05/2021,169000.0,22800.0
04/2021,121000.0,17800.0
03/2021,268000.0,27100.0
02/2021,337000.0,65900.0
01/2021,1370000.0,256000.0
12/2020,330000.0,25700.0
