Month,Peak,Average
12/2023,495000.0,219000.0
11/2023,284000.0,142000.0
10/2023,303000.0,140000.0
09/2023,313000.0,152000.0
08/2023,319000.0,140000.0
07/2023,451000.0,189000.0
06/2023,331000.0,127000.0
05/2023,318000.0,128000.0
04/2023,446000.0,152000.0
03/2023,513000.0,150000.0
02/2023,468000.0,134000.0
01/2023,514000.0,149000.0
12/2022,370000.0,130000.0
11/2022,550000.0,139000.0
10/2022,344000.0,127000.0
09/2022,409000.0,144000.0
08/2022,459000.0,175000.0
07/2022,494000.0,165000.0
06/2022,430000.0,146000.0
05/2022,513000.0,163000.0
04/2022,583000.0,179000.0
03/2022,466000.0,171000.0
02/2022,483000.0,191000.0
01/2022,532000.0,205000.0
12/2021,418000.0,157000.0
11/2021,444000.0,180000.0
10/2021,473000.0,184000.0
09/2021,590000.0,201000.0
08/2021,503000.0,194000.0
07/2021,477000.0,192000.0
06/2021,608000.0,237000.0
05/2021,1140000.0,341000.0
04/2021,1130000.0,332000.0
03/2021,591000.0,248000.0
02/2021,508000.0,205000.0
01/2021,335000.0,99500.0
12/2020,263000.0,82800.0
