Month,Peak,Average
12/2023,34800.0,251
11/2023,17800.0,72
10/2023,9500.0,25
09/2023,10500.0,58
08/2023,1800.0,12
07/2023,10500.0,40
06/2023,23000.0,168
05/2023,9200.0,58
04/2023,17700.0,108
03/2023,45100.0,208
02/2023,8200.0,44
01/2023,9700.0,92
12/2022,39200.0,72
11/2022,47400.0,155
10/2022,9900.0,94
09/2022,7800.0,72
08/2022,4700.0,30
07/2022,3800.0,28
06/2022,9300.0,119
05/2022,12400.0,69
04/2022,5600.0,68
03/2022,9700.0,124
02/2022,6100.0,55
01/2022,6000.0,43
12/2021,9600.0,32
11/2021,6500.0,103
10/2021,9000.0,79
09/2021,34000.0,129
08/2021,94300.0,441
07/2021,53900.0,329
06/2021,2900.0,45
05/2021,5200.0,54
04/2021,62400.0,340
03/2021,23200.0,150
02/2021,13000.0,124
01/2021,89900.0,386
12/2020,8000.0,48
