Month,Peak,Average
12/2023,12900.0,1100.0
11/2023,10800.0,996.0
10/2023,5000.0,1000.0
09/2023,7200.0,1200.0
08/2023,10300.0,1300.0
07/2023,6900.0,1300.0
06/2023,8000.0,1300.0
05/2023,10300.0,1800.0
04/2023,9200.0,2000.0
03/2023,13400.0,1700.0
02/2023,14600.0,1700.0
01/2023,91700.0,2000.0
12/2022,58700.0,1400.0
11/2022,18300.0,1200.0
10/2022,11000.0,1200.0
09/2022,36100.0,1500.0
08/2022,6200.0,1500.0
07/2022,26200.0,2200.0
06/2022,18900.0,2800.0
05/2022,21200.0,2600.0
04/2022,19800.0,1900.0
03/2022,13200.0,2000.0
02/2022,24400.0,2200.0
01/2022,79900.0,3100.0
12/2021,20000.0,1400.0
11/2021,9200.0,1400.0
10/2021,26200.0,1700.0
09/2021,18300.0,1800.0
08/2021,7400.0,1700.0
07/2021,15800.0,1800.0
06/2021,99500.0,1800.0
05/2021,20200.0,2100.0
04/2021,9900.0,2400.0
03/2021,90500.0,3900.0
02/2021,38200.0,4400.0
01/2021,43000.0,10200.0
12/2020,30500.0,3400.0
